v1.0.4,95.92,77.55
v1.0.5,95.92,77.55
v1.0.6,95.92,77.55
v1.0.7,95.92,77.55
v1.1.0,92.88,74.62
v1.1.1,92.88,74.62
v1.1.2,92.88,74.62
v1.2.0,92.92,74.62
v1.2.1,,
v1.2.2,92.92,74.62
v1.2.3,91.37,74.62
v1.2.4,91.04,73.23
v1.3.0,91.15,73.23
v1.3.1,91.95,74.02
v1.3.2,91.92,74.02
v1.3.3,91.92,74.02
v1.3.4,92.06,74.68
v1.3.5,92.43,75.29
v1.3.6,92.52,75.29
v1.3.7,92.55,75.29
v1.3.8,92.55,75.29
v1.3.9,92.55,75.29
v1.3.10,92.55,75.29
v1.3.11,93.28,80.16
v1.3.12,90.89,82.64
v1.3.13,91.97,86.3
v1.4.0,,
v1.4.1,,
v1.4.2,,
v1.4.3,,
v1.4.4,,
v1.4.5,,
v1.4.6,,
v1.4.7,,
v1.4.8,,
v1.5.0,,
v1.5.1,,
v1.5.2,,
v1.5.3,,
v1.5.4,91.76,82.75
v1.5.5,91.76,82.75
v1.5.6,91.95,83.28
v1.5.7,92.12,83.38
v1.5.8,92.12,83.28
v1.6.0,92.5,83.66
v1.6.1,92.91,84.5
v1.6.2,93.04,84.76
v1.6.3,,
v1.6.4,,
v1.6.5,,
v1.6.6,,
v1.6.7,,
v1.7.0,,
v1.7.1,,
v1.7.2,,
v1.7.3,,
v1.7.4,92.64,84.17
v1.7.5,93.35,85.49
v1.7.6,93.42,85.46
v1.7.7,93.42,85.46
v1.7.8,93.48,86.19
v1.8.0,93.44,86.1
v1.8.1,93.47,86.16
v1.8.2,93.45,86.01
v1.8.3,93.43,85.86
v1.8.4,93.61,85.65
v1.8.5,93.64,85.77
